dataset               , model        , metric    , n_seeds, rel_diff_seed_%     , t_pvalue              , wilcoxon_pvalue, n_users_total, rel_diff_user_%     , ci_lo_pool             , ci_hi_pool             , p_boot_pool, cohens_d_pool         , seeds_sig_pos, seeds_sig_neg
steam-15k             , IA-SASRec-Mul, mrr@50    ,       5, -4.553624925104851  , 0.024436109917608837  ,          0.0625,         71505, -4.635141108561159  , -0.0020937904190828378 , -0.0009825432922869787 ,      0.0005, -0.01988813057940936  ,             0,             3
steam-15k             , IA-SASRec-Mul, ndcg@10   ,       5, -5.0075112669003525 , 0.008682115976578288  ,          0.0625,         71505, -5.07934072064454   , -0.002678551325132319  , -0.0013456908391405932 ,      0.0005, -0.022132226969177105 ,             0,             3
steam-15k             , IA-SASRec-Mul, ndcg@100  ,       5, -2.704561081824434  , 0.003128911495544208  ,          0.0625,         71505, -2.706108950642079  , -0.0029418649530566837 , -0.0017534933963606904 ,      0.0005, -0.029572110663219776 ,             0,             4
steam-15k             , IA-SASRec-Mul, ndcg@20   ,       5, -3.7304910544347147 , 0.017088302651447906  ,          0.0625,         71505, -3.697216768621283  , -0.0025766735361703714 , -0.0012949694226490121 ,      0.0005, -0.022258061905750325 ,             0,             2
steam-15k             , IA-SASRec-Mul, ndcg@50   ,       5, -3.353057199211044  , 0.0010250940188073127 ,          0.0625,         71505, -3.3562227159265885 , -0.0029884871654349693 , -0.0017613290695701403 ,      0.0005, -0.02874952575743143  ,             0,             5
steam-15k             , IA-SASRec-Mul, recall@10 ,       5, -4.464285714285715  , 0.0032806628456669065 ,          0.0625,         71505, -4.454192677577189  , -0.005119222431997762  , -0.002293545905880708  ,      0.0005, -0.01874803556324661  ,             0,             3
steam-15k             , IA-SASRec-Mul, recall@100,       5, -1.7784024934303078 , 0.0348312648968519    ,          0.0625,         71505, -1.7735042735042734 , -0.007873924900356618  , -0.0037056849171386635 ,      0.0005, -0.020612908553043856 ,             0,             3
steam-15k             , IA-SASRec-Mul, recall@20 ,       5, -2.617722280728148  , 0.045117209860873884  ,          0.125 ,         71505, -2.609153077327723  , -0.005104887770086008  , -0.0018460247535137403 ,      0.0005, -0.015437557287618775 ,             0,             3
steam-15k             , IA-SASRec-Mul, recall@50 ,       5, -2.5962557400211943 , 0.01461900078160708   ,          0.0625,         71505, -2.5933930225378203 , -0.007901545346479267  , -0.00397140060135655   ,      0.0005, -0.022531016129165443 ,             0,             2
steam-15k             , IA-SASRec-Val, mrr@10    ,       5, -7.311669128508126  , 0.03179671247840679   ,          0.125 ,         71505, -7.329947312321917  , -0.0026256362636423477 , -0.0013736253597539526 ,      0.0005, -0.02298868658932831  ,             0,             3
steam-15k             , IA-SASRec-Val, mrr@100   ,       5, -5.740528128587832  , 0.03294899312002022   ,          0.125 ,         71505, -5.6463084435863    , -0.0025616860407403027 , -0.0013702166332991439 ,      0.0005, -0.023789955787623968 ,             0,             3
steam-15k             , IA-SASRec-Val, mrr@20    ,       5, -6.684141546526867  , 0.031571852850305664  ,          0.125 ,         71505, -6.6025362453600716 , -0.002606169077501066  , -0.0013898172773540857 ,      0.0005, -0.023979260479282085 ,             0,             4
steam-15k             , IA-SASRec-Val, mrr@50    ,       5, -5.8717795086878395 , 0.03457335966457242   ,          0.125 ,         71505, -5.897226617331732  , -0.0025609265501348316 , -0.0013609233472321668 ,      0.0005, -0.023769623050495913 ,             0,             3
steam-15k             , IA-SASRec-Val, ndcg@10   ,       5, -6.2093139709564324 , 0.00523769378864146   ,          0.0625,         71505, -6.242522645906376  , -0.003208308615959724  , -0.0017965003372108098 ,      0.0005, -0.025859532677498964 ,             0,             4
steam-15k             , IA-SASRec-Val, ndcg@100  ,       5, -2.819161127664449  , 0.011692298685081749  ,          0.0625,         71505, -2.801228705611549  , -0.0030651134397989676 , -0.0018145172133950066 ,      0.0005, -0.028809579846662506 ,             0,             4
steam-15k             , IA-SASRec-Val, ndcg@20   ,       5, -5.024743052912066  , 0.010468186491520606  ,          0.0625,         71505, -5.015937400856033  , -0.003261595263436056  , -0.0019626360573285133 ,      0.0005, -0.02865649038787613  ,             0,             4
steam-15k             , IA-SASRec-Val, ndcg@50   ,       5, -3.493941955480415  , 0.00794691464743826   ,          0.0625,         71505, -3.482546378113025  , -0.0030745577334272784 , -0.0018531012159536178 ,      0.0005, -0.028275559509515893 ,             0,             4
steam-15k             , IA-SASRec-Val, recall@10 ,       5, -5.067567567567566  , 3.2427246996062264e-06,          0.0625,         71505, -5.078454530116416  , -0.005691909656667366  , -0.002741067058247675  ,      0.0005, -0.020817395957070172 ,             0,             5
steam-15k             , IA-SASRec-Val, recall@100,       5, -1.2528264988082916 , 0.04922976405696093   ,          0.0625,         71505, -1.2478632478632476 , -0.006335570939095168  , -0.0018876302356478588 ,      0.0005, -0.013835955345382551 ,             0,             1
